id,client_uid,partner_id,fullname,country
1,1,0,Xander Wisoky,HR
2,2,1,Edd Olson,NR
3,31649666,1,Julie Heidenreich Sr.,KR
4,193039604,1,Karina Schamberger,TH
5,856472977,1,Ophelia Wintheiser,BH
6,884397764,1,Dr. Joy Rice,BW
7,56559443,1,Giuseppe Fadel,PM
8,535359561,1,Cletus Frami,SV
9,651065523,1,Prof. Leone Pfeffer MD,GB
10,204575895,1,Robbie Ritchie,KG
11,744697141,1,Bridget Dietrich,NU
12,469561886,1,Stanton Bernier,BN
13,197031698,1,Mr. Clair Huel,BN
14,20526597,1,Ryley Altenwerth,KY
15,385908022,1,Prof. Cristobal Stark,CL
16,124801309,1,Dr. Zachary Von,GA
17,492017803,1,Mr. Watson Corwin III,AT
18,898352655,1,Tracy Schultz,NC
19,801694571,1,Izabella Wisoky,NA
20,910437017,1,Dr. Marvin Boehm IV,KM
21,776754409,1,Maritza Koss,CR
22,740917070,1,Dr. Adonis Gibson III,NG
23,994579053,1,Frederique Bahringer,ES
24,546482249,1,Prof. Donavon Fadel,AZ
25,863423625,1,Dr. Trevion Walker II,FO
26,166797414,1,Ollie Cummings I,MN
27,685019040,1,Maya Ward,MT
28,856716680,1,Aracely Schoen,CN
29,301026935,1,Filiberto D'Amore,CM
30,599714794,1,Mrs. Alverta Thiel IV,BR
31,700082034,1,Martin Shields,NO
32,291825711,1,Alden O'Reilly,LB
33,63104856,1,Amie Shanahan,HN
34,996194169,1,Vincenzo Hand,NR
35,450882312,1,Jamal Blanda III,PG
36,338885500,1,Shany McClure,ST
37,251819879,1,Ms. Amalia Hessel MD,YE
38,387219909,1,Demetrius Wintheiser Jr.,SY
39,758729699,1,Miss Martina Mayert III,FR
40,6411285,1,Prof. General Shanahan III,ST
41,612195741,1,Joe Reinger,AL
42,103917280,1,Miss Tierra Orn,BR
43,633465560,1,Richmond Dare,EC
44,527958509,1,Branson Farrell IV,CY
45,602100623,1,Roma Price,AE
46,628552268,1,Hal Kling,VC
